GARE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
Lasserre;643000;1;141+850;51e7d2f8-6665-11e3-afff-01f464e0362d;489051.5117999986;6333770.671700001;0.366141590574754;44.0712719395736;44.0712719395736, 0.36614159057475426;44.07127193955153, 0.3661415905747519;"{""coordinates"": [0.366141590574752, 44.07127193955153], ""type"": ""Point""}"
Vittel;035000;1;066+366;51e1ec32-6665-11e3-afff-01f464e0362d;916782.9824000001;6791831.3422;5.917900203990712;48.190785474055055;48.190785474055055, 5.917900203990712;48.190785474044716, 5.9179002039907145;"{""coordinates"": [5.917900203990714, 48.190785474044716], ""type"": ""Point""}"
Pont-à-Mousson;090000;1;361+703;51e1e222-6665-11e3-afff-01f464e0362d;923753.121100001;6870662.5363;6.052627469279323;48.89703855734364;48.89703855734364, 6.052627469279323;48.897038557321785, 6.052627469279327;"{""coordinates"": [6.052627469279327, 48.897038557321785], ""type"": ""Point""}"
St-Yorre;785000;1;371+846;51e3b874-6665-11e3-afff-01f464e0362d;735678.7281000018;6552542.829399999;3.461611725151021;46.071721306667676;46.071721306667676, 3.4616117251510214;46.071721306651135, 3.461611725151022;"{""coordinates"": [3.461611725151022, 46.071721306651135], ""type"": ""Point""}"
Schweighouse-sur-Moder;160000;1;032+911;51dfb444-6665-11e3-afff-01f464e0362d;1047481.7093999982;6869362.2916;7.736245698434416;48.83049898917365;48.83049898917365, 7.7362456984344155;48.83049898915145, 7.736245698434419;"{""coordinates"": [7.736245698434419, 48.83049898915145], ""type"": ""Point""}"
;867616;1;001+416;cef849c0-dfb5-11e3-8eff-01a464e0362d;842563.7206000015;6637051.414099999;4.870061481765108;46.81841739925377;46.81841739925377, 4.870061481765108;46.8184173992394, 4.870061481765109;"{""coordinates"": [4.870061481765109, 46.8184173992394], ""type"": ""Point""}"
Étais (GS);753000;1;244+728;51e72186-6665-11e3-afff-01f464e0362d;725426.0402000025;6710779.686099999;3.337720310055209;47.496891263142125;47.496891263142125, 3.337720310055209;47.49689126312976, 3.3377203100552095;"{""coordinates"": [3.33772031005521, 47.49689126312976], ""type"": ""Point""}"
;365501;1;002+887;51f15202-6665-11e3-afff-01f464e0362d;560125.7518000007;6928451.903900001;1.071885496013725;49.44012951394559;49.44012951394559, 1.0718854960137252;49.440129513926436, 1.071885496013724;"{""coordinates"": [1.071885496013724, 49.440129513926436], ""type"": ""Point""}"
Courtenay;748000;1;153+360;cef67bb4-dfb5-11e3-8eff-01a464e0362d;704511.4543000013;6770778.9188;3.060534510578535;48.03737734386685;48.03737734386685, 3.060534510578535;48.037377343856065, 3.060534510578535;"{""coordinates"": [3.060534510578535, 48.037377343856065], ""type"": ""Point""}"
Ossès-St-Martin-d'Arrossa;661000;1;242+975;51e7267e-6665-11e3-afff-01f464e0362d;348288.9095999971;6243550.5339;-1.326872604669141;43.204422017522546;43.204422017522546, -1.326872604669141;43.204422017498345, -1.3268726046691435;"{""coordinates"": [-1.326872604669143, 43.204422017498345], ""type"": ""Point""}"
Baziège;640000;1;279+173;51ea5d4a-6665-11e3-afff-01f464e0362d;588212.0275000036;6262642.016100001;1.619396838444416;43.45408303236345;43.45408303236345, 1.6193968384444164;43.45408303233985, 1.6193968384444153;"{""coordinates"": [1.619396838444415, 43.45408303233985], ""type"": ""Point""}"
Motteville;358000;1;172+300;51dff856-6665-11e3-afff-01f464e0362d;543463.9294999987;6952517.9452;0.833216225450508;49.65245485948521;49.65245485948521, 0.8332162254505083;49.65245485946707, 0.8332162254505063;"{""coordinates"": [0.833216225450506, 49.65245485946707], ""type"": ""Point""}"
Creutzwald;159000;1;120+709;cef69e8e-dfb5-11e3-8eff-01a464e0362d;968202.998999998;6905392.7764;6.680317574923768;49.19200387412812;49.19200387412812, 6.680317574923768;49.19200387410775, 6.680317574923771;"{""coordinates"": [6.680317574923771, 49.19200387410775], ""type"": ""Point""}"
Maubourguet;652000;1;221+319;51e73630-6665-11e3-afff-01f464e0362d;460712.26420000196;6265414.039999999;0.044547604830303;43.447521694648685;43.447521694648685, 0.044547604830303324;43.44752169462507, 0.04454760483030094;"{""coordinates"": [0.044547604830301, 43.44752169462507], ""type"": ""Point""}"
Beaulieu-Le Coudray;556000;1;004+845;51e7a682-6665-11e3-afff-01f464e0362d;589415.1731999964;6815475.0315000005;1.50499956304645;48.43013490107689;48.43013490107689, 1.50499956304645;48.43013490105262, 1.504999563046449;"{""coordinates"": [1.504999563046449, 48.43013490105262], ""type"": ""Point""}"
Arenc-Euroméditerranée;939001;1;858+039;cef4c2de-dfb5-11e3-8eff-01a464e0362d;891684.7443000004;6249895.5942;5.362169026967815;43.32240939576879;43.32240939576879, 5.362169026967815;43.32240939574488, 5.362169026967817;"{""coordinates"": [5.362169026967817, 43.32240939574488], ""type"": ""Point""}"
