﻿Nom du chantier;Adresse 1;CP;Latitude;Longitude;VILLE;N°;Longueur apte à la manutention (ml);Nom de la cour;Manutention 2021
PARIS VALENTON;1, rue Pierre Sémard;94380;48.760243;2.480041;BONNEUIL-SUR-MARNE;75;494;3;2 Portiques
PERPIGNAN SAINT-CHARLES;Gare Marchandises Saint-Charles;66000;42.680675;2.845718;PERPIGNAN;103;750;;2 Portiques
NOISY-LE-SEC;11, rue Emmanuel Arago;93130;48.900088;2.462027;NOISY-LE-SEC;9;400;2;1 Portique
PARIS VALENTON;1, rue Pierre Sémard;94380;48.760243;2.480041;BONNEUIL-SUR-MARNE;85;585;1 Sud;Grue(s)
AVIGNON COURTINE;Chemin de Courtine;84000;43.939732;4.792701;AVIGNON;114;230;114;Grue(s)
CLERMONT-FERRAND GERZAT;2, rue de l'Industrie;63360;45.822666;3.138984;GERZAT;9;315;;1 Portique
CLERMONT-FERRAND GERZAT;2, rue de l'Industrie;63360;45.822666;3.138984;GERZAT;11;260;;Grue(s)
LYON VENISSIEUX;5, Chemin du Charbonnier;69200;45.69743;4.902623;VENISSIEUX;118;205;;1 Portique
TOULOUSE FENOUILLET;5, rue Seveso;31150;43.686323;1.401977;FENOUILLET;E;330;;Grue(s)
TOULOUSE SAINT-JORY;RN 20;31150;43.70004;1.395136;FENOUILLET;B;450;;Grue(s)
TOURS SAINT-PIERRE DES CORPS;Rue Charles Duval;37700;47.381848;0.738429;ST PIERRE DES CORPS;D;255;;Grue(s)
NANCY CHAMPIGNEULLES;9, Chemin  de la Rompure;54390;48.745447;6.156349;FROUARD;341;400;;1 Portique
NOISY-LE-SEC;11, rue Emmanuel Arago;93130;48.900088;2.462027;NOISY-LE-SEC;8;400;2;1 Portique
TOULOUSE SAINT-JORY;RN 20;31150;43.70004;1.395136;FENOUILLET;A;450;;Grue(s)
