IDRESEAU;LIBELLE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;GARE;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
155051;Faisceau Garages;295000;1;065+925;51f0af16-6665-11e3-afff-01f464e0362d;St-Omer;648590.8832999989;7073015.1732;2.272869589221828;50.7516287745682;50.7516287745682, 2.2728695892218282;50.751628774555044, 2.272869589221828;"{""coordinates"": [2.272869589221828, 50.751628774555044], ""type"": ""Point""}"
155067;Atelier de CHAMIERS;621000;1;073+481;51ec9e08-6665-11e3-afff-01f464e0362d;Périgueux;518581.66309999675;6457810.73;0.689317627162142;45.195720562417;45.195720562417, 0.6893176271621417;45.19572056239796, 0.6893176271621401;"{""coordinates"": [0.68931762716214, 45.19572056239796], ""type"": ""Point""}"
128072;Faisceau de Triage et de Formation;329000;1;063+220;51e87624-6665-11e3-afff-01f464e0362d;Le Petit-Thérain;659064.8561000004;6903937.772;2.438027044548853;49.233814521900385;49.233814521900385, 2.4380270445488526;49.23381452188022, 2.4380270445488517;"{""coordinates"": [2.438027044548852, 49.23381452188022], ""type"": ""Point""}"
157449;Faisceau GARAGES;295000;1;020+343;cef9b3e0-dfb5-11e3-8eff-01a464e0362d;Armentières;691111.185999997;7064916.7368;2.874455312762576;50.68102075756847;50.68102075756847, 2.874455312762576;50.681020757555, 2.874455312762576;"{""coordinates"": [2.874455312762576, 50.681020757555], ""type"": ""Point""}"
128550;Faisceau impair;753000;1;173+518;51e130f4-6665-11e3-afff-01f464e0362d;Auxerre-St-Gervais;743930.8139000013;6745018.1554000005;3.586882071179079;47.80408859350273;47.80408859350273, 3.5868820711790788;47.80408859349128, 3.5868820711790788;"{""coordinates"": [3.586882071179079, 47.80408859349128], ""type"": ""Point""}"
85574;Faisceau Relais Principal;570000;2;229+895;51e9c46c-6665-11e3-afff-01f464e0362d;St-Pierre-des-Corps;531324.8718999997;6701495.677900001;0.763657581803311;47.3923047020675;47.3923047020675, 0.7636575818033112;47.39230470205484, 0.7636575818033097;"{""coordinates"": [0.76365758180331, 47.39230470205484], ""type"": ""Point""}"
155301;Faisceau Impair V9 à V35;330000;2;118+920;51ebbe58-6665-11e3-afff-01f464e0362d;Serqueux;594654.7725000009;6949487.4989;1.542377729528733;49.6357865556807;49.6357865556807, 1.5423777295287329;49.63578655566248, 1.5423777295287318;"{""coordinates"": [1.542377729528732, 49.63578655566248], ""type"": ""Point""}"
73060;Faisceau impair;905000;1;025+946;51e3fd18-6665-11e3-afff-01f464e0362d;St-Quentin-Fallavier;863411.4659999982;6506507.7764;5.097921213372072;45.638570447891496;45.638570447891496, 5.097921213372072;45.63857044787371, 5.097921213372074;"{""coordinates"": [5.097921213372074, 45.63857044787371], ""type"": ""Point""}"
156390;Faisceau impair;905000;1;187+867;cef33b58-dfb5-11e3-8eff-01a464e0362d;Clelles-Mens;906281.6086999997;6417561.127500001;5.61020175736077;44.82652374909906;44.82652374909906, 5.61020175736077;44.82652374907901, 5.610201757360771;"{""coordinates"": [5.610201757360771, 44.82652374907901], ""type"": ""Point""}"
154153;Faisceau Pair;890000;1;009+253;51edf746-6665-11e3-afff-01f464e0362d;Lyon-St-Clair;845404.1014999971;6523213.072900001;4.871912731378605;45.79302762285613;45.79302762285613, 4.871912731378605;45.79302762283878, 4.871912731378607;"{""coordinates"": [4.871912731378607, 45.79302762283878], ""type"": ""Point""}"
157159;Faisceau Impair;241000;1;089+626;cef72ea2-dfb5-11e3-8eff-01a464e0362d;Ferrière-la-Grande;771565.5702999979;7017793.204599999;4.002283095029267;50.25400710716012;50.25400710716012, 4.002283095029267;50.25400710714476, 4.002283095029267;"{""coordinates"": [4.002283095029267, 50.25400710714476], ""type"": ""Point""}"
154110;Faisceau Peyraud VA Circulation;797311;1;000+000;51eca918-6665-11e3-afff-01f464e0362d;Peyraud;840560.061999999;6467687.1598000005;4.793341249657747;45.29418080289292;45.29418080289292, 4.793341249657747;45.29418080287415, 4.7933412496577485;"{""coordinates"": [4.793341249657749, 45.29418080287415], ""type"": ""Point""}"
155136;Faisceau Impair;072000;1;059+755;51efa1ea-6665-11e3-afff-01f464e0362d;Lizy-sur-Ourcq;702255.7309999987;6880148.383900002;3.030840480843921;49.02123212401011;49.02123212401011, 3.030840480843921;49.021232123988874, 3.030840480843921;"{""coordinates"": [3.030840480843921, 49.021232123988874], ""type"": ""Point""}"
73136;Faisceau Pair;272000;1;019+644;51e0754e-6665-11e3-afff-01f464e0362d;Goussainville;660883.2929000035;6880699.537700001;2.465151295954128;49.025000741638436;49.025000741638436, 2.4651512959541275;49.02500074161722, 2.465151295954127;"{""coordinates"": [2.465151295954127, 49.02500074161722], ""type"": ""Point""}"
86592;Multitechnique;990000;3;079+621;51e08404-6665-11e3-afff-01f464e0362d;Valenton;661578.8985999972;6851385.274900001;2.477315278205478;48.76142824001904;48.76142824001904, 2.477315278205478;48.76142823999649, 2.4773152782054777;"{""coordinates"": [2.477315278205478, 48.76142823999649], ""type"": ""Point""}"
153311;Chantier de la Horgne;099000;1;002+100;51ef97f2-6665-11e3-afff-01f464e0362d;Metz-Ville;931777.9118999988;6892824.508099999;6.174140426092575;49.093320984777115;49.093320984777115, 6.174140426092575;49.09332098475626, 6.1741404260925785;"{""coordinates"": [6.174140426092579, 49.09332098475626], ""type"": ""Point""}"
155371;Faisceau impair Bayeux;366000;1;269+058;51ef6e50-6665-11e3-afff-01f464e0362d;Bayeux;430627.1300999969;6914054.4076999985;-0.701915405358801;49.26929525424313;49.26929525424313, -0.7019154053588006;49.26929525422314, -0.7019154053588038;"{""coordinates"": [-0.701915405358804, 49.26929525422314], ""type"": ""Point""}"
156423;Faisceau pair;909306;1;000+387;cef542f6-dfb5-11e3-8eff-01a464e0362d;Montmélian;937922.1548999995;6493854.329599999;6.04744082302807;45.50283102704727;45.50283102704727, 6.04744082302807;45.502831027029096, 6.047440823028072;"{""coordinates"": [6.047440823028072, 45.502831027029096], ""type"": ""Point""}"
128317;Faisceau impair Vittel;035000;1;068+053;51e9b4a6-6665-11e3-afff-01f464e0362d;Vittel;917965.5666999966;6792938.8363999985;5.934356893313488;48.20034957326205;48.20034957326205, 5.934356893313488;48.20034957325176, 5.93435689331349;"{""coordinates"": [5.93435689331349, 48.20034957325176], ""type"": ""Point""}"
156738;Faisceau voie 3;718000;1;273+020;cef3cd60-dfb5-11e3-8eff-01a464e0362d;Villefranche-de-Rouergue;623318.9139999971;6361475.0755;2.038052676424951;44.34810277422888;44.34810277422888, 2.0380526764249507;44.34810277420754, 2.0380526764249502;"{""coordinates"": [2.03805267642495, 44.34810277420754], ""type"": ""Point""}"
