IDRESEAU;LIBELLE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
70017;Villeneuve-St-Georges;830000;1;009+531;51e73c0c-6665-11e3-afff-01f464e0362d;658563.2936000004;6852667.138500001;2.436167494195843;48.772770351793255;48.772770351793255, 2.4361674941958427;48.77277035177077, 2.4361674941958427;"{""coordinates"": [2.436167494195843, 48.77277035177077], ""type"": ""Point""}"
131911;Badan;750000;1;540+143;51e24a08-6665-11e3-afff-01f464e0362d;838733.9103000015;6501803.476599999;4.779859803560344;45.601677782245005;45.601677782245005, 4.779859803560344;45.60167778222711, 4.779859803560345;"{""coordinates"": [4.779859803560345, 45.60167778222711], ""type"": ""Point""}"
131911;Badan;750000;1;541+436;51e24a08-6665-11e3-afff-01f464e0362d;839880.052699998;6502302.425500002;4.794704437298017;45.60593596919353;45.60593596919353, 4.794704437298017;45.60593596917566, 4.794704437298018;"{""coordinates"": [4.794704437298018, 45.60593596917566], ""type"": ""Point""}"
87135;Triage impaire de Soquence;341300;1;223+275;51e838b4-6665-11e3-afff-01f464e0362d;496309.427199997;6937180.823899999;0.188544826934436;49.501337135173;49.501337135173, 0.18854482693443567;49.50133713515413, 0.18854482693443247;"{""coordinates"": [0.188544826934432, 49.50133713515413], ""type"": ""Point""}"
70006;Mulhouse-Nord;125000;1;003+590;51e7b8dc-6665-11e3-afff-01f464e0362d;1023463.0904000029;6748896.819600001;7.319821893871435;47.760813651142854;47.760813651142854, 7.319821893871435;47.76081365113127, 7.3198218938714374;"{""coordinates"": [7.319821893871437, 47.76081365113127], ""type"": ""Point""}"
70023;Metz-Sablon;191300;1;000+290;51e0c32e-6665-11e3-afff-01f464e0362d;931851.4998999983;6892645.5097;6.175048595356067;49.09168627792594;49.09168627792594, 6.175048595356067;49.09168627790506, 6.17504859535607;"{""coordinates"": [6.17504859535607, 49.09168627790506], ""type"": ""Point""}"
85559;Thionville;180000;2;187+315;51e89d32-6665-11e3-afff-01f464e0362d;929823.2774000019;6921281.1439;6.163002984943526;49.34964673301695;49.34964673301695, 6.1630029849435255;49.349646732997336, 6.163002984943527;"{""coordinates"": [6.163002984943527, 49.349646732997336], ""type"": ""Point""}"
133511;Grenoble;905000;1;126+640;51e9b7f8-6665-11e3-afff-01f464e0362d;910806.2124999985;6461126.813999999;5.68615656315037;45.217193224155054;45.217193224155054, 5.68615656315037;45.217193224136075, 5.686156563150372;"{""coordinates"": [5.686156563150372, 45.217193224136075], ""type"": ""Point""}"
70006;Mulhouse-Nord;125000;1;004+230;51e7b8dc-6665-11e3-afff-01f464e0362d;1024019.4443999976;6749201.478100002;7.327459856291883;47.76327753735336;47.76327753735336, 7.327459856291883;47.763277537341764, 7.3274598562918865;"{""coordinates"": [7.327459856291886, 47.763277537341764], ""type"": ""Point""}"
155314;Triage Annexe Sotteville;340000;1;131+373;51ecfd0a-6665-11e3-afff-01f464e0362d;562520.7782000005;6923162.2804000005;1.106635304356047;49.3931199683015;49.3931199683015, 1.106635304356047;49.39311996828211, 1.1066353043560455;"{""coordinates"": [1.106635304356046, 49.39311996828211], ""type"": ""Point""}"
70008;Le Bourget;229000;1;011+621;51e74038-6665-11e3-afff-01f464e0362d;660122.3665999994;6870427.554000001;2.455715464128778;48.93258844113585;48.93258844113585, 2.455715464128778;48.93258844111418, 2.4557154641287777;"{""coordinates"": [2.455715464128778, 48.93258844111418], ""type"": ""Point""}"
133531;Reims;081000;1;223+000;51e9bb64-6665-11e3-afff-01f464e0362d;776919.5982000008;6908696.776900001;4.056810188328872;49.27327898085408;49.27327898085408, 4.056810188328872;49.273278980834085, 4.056810188328873;"{""coordinates"": [4.056810188328873, 49.273278980834085], ""type"": ""Point""}"
70021;Triage Miramas;830000;1;805+097;51e0fdb6-6665-11e3-afff-01f464e0362d;857458.2732999995;6278446.468699999;4.949262241781213;43.587583850820295;43.587583850820295, 4.949262241781213;43.587583850797, 4.949262241781215;"{""coordinates"": [4.949262241781215, 43.587583850797], ""type"": ""Point""}"
81614;Perpignan-Roussillon;679000;1;472+149;51df0844-6665-11e3-afff-01f464e0362d;686246.3137999997;6175993.0132;2.832393947635375;42.683427541149705;42.683427541149705, 2.832393947635375;42.68342754112433, 2.832393947635375;"{""coordinates"": [2.832393947635375, 42.68342754112433], ""type"": ""Point""}"
70019;Sibelin;830000;1;522+231;51e6c5de-6665-11e3-afff-01f464e0362d;843954.7395000011;6508147.019499999;4.848720463563153;45.657704948840475;45.657704948840475, 4.848720463563153;45.65770494882273, 4.848720463563155;"{""coordinates"": [4.848720463563155, 45.65770494882273], ""type"": ""Point""}"
70017;Villeneuve-St-Georges;830000;1;012+036;51e73c0c-6665-11e3-afff-01f464e0362d;658493.7339000031;6850216.738000002;2.43545940171926;48.75072762955252;48.75072762955252, 2.43545940171926;48.7507276295299, 2.4354594017192595;"{""coordinates"": [2.435459401719259, 48.7507276295299], ""type"": ""Point""}"
